CdBNBV;CdSite;NomBV;SurfaceKm2
MO96;Y0624020;L'Agly à Saint-Paul-de-Fenouillet [Clue de la Fou];229.42
MO101;Y0634020;L'Agly à Cassagnes [Barrage de Caramany];409.03
MO1156;Y0655020;Le Verdouble à Padern;155.05
MO790;Y0655010;Le Verdouble à Tautavel;307.94
MO67;Y0664040;L'Agly à Estagel [Mas de Jau];909.45
MO77;Y0674060;L'Agly à Rivesaltes;1049.82
MO2702;Y0615040;La Boulzane à Saint-Paul-de-Fenouillet [Lapradelle];80.12
MO1063;Y0625220;La Desix à Ansignan;139.57
MO2566;Y0334001;Le Réart à Saleilles [Pont de la RN 114];140.38
MO698;Y0274010;Le Tech au Boulou;608.34
MO715;Y0284060;Le Tech à Argelès-sur-Mer - Pont d'Elne;722.93
MO53;Y0474060;La Têt à Saint-Féliu-d'Amont;1192.68
MO750;Y0464010;La Têt à Rodès [Barrage de Vinca];945.2
MO24;Y0474030;La Têt [partielle] à Perpignan [Pont-Joffre];1314.43
MO1054;Y0445010;La Castellane à Catllar;90.12
MO1082;Y1112010;L'Aude à Belvianes-et-Cavirac;668.57
MO1103;Y1141151;L'Aude à Alet-les-Bains - Le Moulin Neuf;1020.22
MO820;Y1232010;L'Aude à Carcassonne - Pont-Vieux;1753.93
MO193;Y1612020;L'Aude à Moussan [Moussoulens - écluse];4828.07
MO273;Y1422030;L'Aude à Trèbes [rue Voltaire];3035.58
MO288;Y1422010;L'Aude à Puichéric;3252.14
MO313;Y1452010;L'Aude à Ventenac-en-Minervois;3741.85
MO188;Y1452020;L'Aude à Saint-Marcel-sur-Aude;4548.98
MO1604;Y1435410;L'Argent-Double à la Redorte [Les Salices];107.15
MO1468;Y1445010;L'Ognon à Pépieux;47.47
MO3650;Y1416220;La Clamoux à Villeneuve-Minervois - Ancienne;42.56
MO2294;Y1135010;La Sals à Cassaignes;131.04
MO2397;Y1225020;Le Lauquet à Saint-Hilaire [Le Pech];176.64
MO1457;Y1205010;Le Sou à Saint-Martin-de-Villereglan;196.86
MO1074;Y1105010;Le Rebenty à Saint-Martin-Lys;151.77
MO401;Y1415020;L'Orbiel à Bouilhonnac [Villedubert];241.75
MO155;Y1524020;L'Orbieu à Lagrasse [Pont RD 3];264.26
MO175;Y1564010;L'Orbieu à Luc-sur-Orbieu;588.15
MO182;Y1584020;L'Orbieu à Villedaigne - RD 6113;750.42
MO807;Y1570002;L'Aussou à Saint-André-de-Roquelongue;
MO335;Y1314010;Le Fresquel à Villepinte;212.95
MO245;Y1364020;Le Fresquel à Pezens;845.42
MO854;Y1345010;Le Lampy à Raissac-sur-Lampy;54.82
MO1709;Y1355210;La Rougeanne à Moussoulens;128.22
MO123;Y0824010;La Berre à Villesèque-des-Corbières [Ripaud];166.06
MO131;Y0824030;La Berre à Portel-des-Corbières;224.18
MO371;Y1605040;La Cesse à Bize-Minervois;235.99
MO373;Y1605050;La Cesse à Mirepeisset;248.09
MO585;Y2030020;La Vis à Saint-Laurent-le-Minier;305.84
MO587;Y2100010;L'Hérault à Ganges;808.23
MO597;Y2100020;L'Hérault à Laroque;911.83
MO429;Y2300020;L'Hérault à Aspiran;1946.42
MO1896;Y2210010;La Lergue à Lodève;181.85
MO449;Y2330010;L'Hérault à Montagnac;2203.41
MO352;Y2370020;L'Hérault à Agde - Ecluse de Prades;2614.61
MO897;Y2340011;La Peyne à Pézenas;117.82
MO1728;Y3200030;Le Lirou au Triadou [Pont du Lien];83.4
MO1732;Y3200020;Le Lez à Montferrier-sur-Lez [Lavalette];114.5
MO4128;Y3210021;Le Lez à Montpellier - Trinquat;
MO492;Y2510020;L'Orb à Bédarieux;344.96
MO520;Y2550010;L'Orb à Vieussan - Amont;904.44
MO533;Y2570010;L'Orb à Cessenon-sur-Orb;1107.15
MO541;Y2570020;L'Orb à Thézan-lès-Béziers [Pont Doumergue];1209.01
MO557;Y2580020;L'Orb à Béziers [Béziers] - Pont neuf;1481.58
MO3226;Y2580510;Le Lirou à Puisserguier;53.53
MO876;Y2560020;Le Vernazobre à Saint-Chinian;66.6
MO1519;Y2540020;Le Jaur à Olargues - Amont;225.11
MO1365;Y2520020;La Mare à Villemagne-l'Argentière - Le Pradal;114.93
MO1389;Y3110003;La Mosson à Juvignac;
MO927;Y3140010;La Mosson à Saint-Jean-de-Védas;347.88
